name;desc;latitude;longitude
Bentinckplein;Deze halte is tijdelijk komen te vervallen Zone 5300 ;51,92583793;4,461555628
Bergpolderplein;Buslijn 35, Buslijn 174, BOB-buslijn 10 Zone 5300 ;51,94535489;4,475669263
Bergpolderplein;Tramlijn 8 Zone 5310 ;51,9453735;4,474592552
Bergpolderplein;Tramlijn 8, Buslijn 35, Buslijn 174 Zone 5310 ;51,94528468;4,475888864
Bergschenhoek Dorpsstraat;Buslijn 173, Buslijn 172 Zone 5320 ;51,98984071;4,500477098
Bergschenhoek Dorpsstraat;Buslijn 173, Buslijn 172 Zone 5320 ;51,9897801;4,500784044
Bergse Dorpsstraat;Buslijn 35, Buslijn 174 Zone 5310 ;51,95911007;4,494740729
Bergse Dorpsstraat;Buslijn 35, Buslijn 174, BOB-buslijn 10 Zone 5300 ;51,95888263;4,494381517
Bergse Dorpsstraat;Tramlijn 4 Zone 5310 ;51,9577237;4,494462766
Bergse Dorpsstraat;Tramlijn 4 Zone 5310 ;51,95728288;4,494413338
Bergse Plaslaan;Tramlijn 4 Zone 5310 ;51,95155537;4,489464881
Bergse Plaslaan;Tramlijn 4 Zone 5310 ;51,95122106;4,489238816
Berkel Westpolder;BOB-buslijn 10 Zone 5300 ;51,98974839;4,453684888
Berkel Westpolder;Buslijn 174 Zone 5320 ;51,98974839;4,453684888
Berkel Westpolder;Metrolijn E Zone 5320 Dit metrostation is toegankelijk met een rolstoel.;51,99108207;4,45410848
Berkel Westpolder;Metrolijn E Zone 5320 Dit metrostation is toegankelijk met een rolstoel.;51,98903968;4,454995415
Berkel Westpolder Metro;Buslijn 174 Zone 5320 ;51,98992559;4,453360889
Berkelseweg;Buslijn 170, Buslijn 173 Zone 5320 ;51,99448021;4,488809393
Berkelseweg;Buslijn 170, Buslijn 173 Zone 5320 ;51,99437092;4,488622291
Berkelseweg;Buslijn 174, Buslijn 172 Zone 5320 ;51,99493812;4,488741973
Berkelseweg;Buslijn 174, Buslijn 172, BOB-buslijn 10 Zone 5300 ;51,9949926;4,488813687
Beukelsbrug;Buslijn 38 Zone 5319 ;51,92155391;4,436116244
Beukelsbrug;Buslijn 38, BOB-buslijn 2 Zone 5300 ;51,92153271;4,436829025
Beukelsdijk;Buslijn 40, Buslijn 38, BOB-buslijn 2 Zone 5300 ;51,92139433;4,455468815
Beukelsdijk;Buslijn 40, Buslijn 38, BOB-buslijn 2 Zone 5300 ;51,9213336;4,455746283
Beukelsdijk;Buslijn 44 Zone 5300 ;51,9215251;4,454957296
Beukelsdijk;Buslijn 44 Zone 5300 ;51,92094968;4,45494016
Beukelsweg;Buslijn 38 Zone 5300 ;51,92012388;4,443822015
Beukelsweg;Buslijn 38, BOB-buslijn 2 Zone 5300 ;51,92006809;4,443590596
Beukendaal;Deze halte is tijdelijk komen te vervallen Zone 5314 ;51,88734302;4,521004972
Beukendaal;Tramlijn 2, Tramlijn 20 Zone 5314 Halte is rolstoeltoegankelijk.;51,88734302;4,521004972
Beukendaal;Tramlijn 2, Tramlijn 20 Zone 5314 Halte is rolstoeltoegankelijk.;51,88768989;4,520504397
Beukenlaan;BOB-buslijn 8 Zone 5326 ;51,83834415;4,337997207
Beukensingel;BOB-buslijn 10 Zone 5300 ;52,00024749;4,489538459
Beukensingel;Buslijn 174 Zone 5320 ;51,99996566;4,489121783
Beukensingel;Buslijn 174 Zone 5320 ;52,00024749;4,489538459
Beurs;BOB-buslijn 11 Zone 5300 ;51,91952099;4,48027818
Beurs;BOB-buslijn 7, BOB-buslijn 16, BOB-buslijn 5, BOB-buslijn 11 Zone 5300 ;51,91950133;4,480060527
Beurs;Buslijn 48 Zone 5300 ;51,91952099;4,48027818
Beurs;Buslijn 48 Zone 5300 ;51,91950133;4,480060527
Beurs;Metrolijn A/B/C Zone 5300 Dit metrostation is toegankelijk met een rolstoel.;51,91839341;4,480925999
Beurs;Metrolijn A/B/C Zone 5300 Dit metrostation is toegankelijk met een rolstoel.;51,91839341;4,480925999
Beurs;Metrolijn D, Metrolijn E Zone 5300 Dit metrostation is toegankelijk met een rolstoel.;51,91840408;4,481143829
Beurs;Metrolijn D, Metrolijn E Zone 5300 Dit metrostation is toegankelijk met een rolstoel.;51,91840408;4,481143829
Beurs;Tramlijn 24, Tramlijn 21, Tramlijn 12, Tramlijn 8, Tramlijn 23, Tramlijn 25 Zone 5300 Halte is rolstoeltoegankelijk.;51,91905387;4,480316681
Beurs;Tramlijn 24, Tramlijn 21, Tramlijn 12, Tramlijn 8, Tramlijn 23, Tramlijn 25 Zone 5300 Halte is rolstoeltoegankelijk.;51,9195475;4,480219499
Beverwaardseweg;Tramlijn 23 Zone 5324 Halte is rolstoeltoegankelijk.;51,89793843;4,568312595
Beverwaardseweg;Tramlijn 23, Tramlijn 12 Zone 5324 Halte is rolstoeltoegankelijk.;51,89819109;4,568453289
Biezenlaan;Buslijn 182 Zone 5314 ;51,85671079;4,47490987
Billitonlaan;Buslijn 56 Zone 5329 ;51,9122239;4,330924139
Billitonlaan;Buslijn 56, BOB-buslijn 2 Zone 5300 ;51,91257267;4,329724096
Binnenban;Buslijn 80 Zone 5326 ;51,86700567;4,352705656
Binnenban;Buslijn 80, BOB-buslijn 7, BOB-buslijn 8 Zone 5300 ;51,86723125;4,352802111
Binnenhof;Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.;51,96037275;4,535309678
Binnenhof;Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.;51,96037275;4,535309678
Blaak;Deze halte is tijdelijk komen te vervallen Zone 5300 ;51,92003401;4,4897313
Blaak;Metrolijn A/B/C Zone 5300 Dit metrostation is toegankelijk met een rolstoel.;51,92003401;4,4897313
Blaak;Metrolijn A/B/C Zone 5300 Dit metrostation is toegankelijk met een rolstoel.;51,92003401;4,4897313
Blijdorp;Metrolijn E Zone 5300 Dit metrostation is toegankelijk met een rolstoel.;51,93080641;4,457847236
Blijdorp;Metrolijn E Zone 5300 Dit metrostation is toegankelijk met een rolstoel.;51,93080641;4,457847236
Blijdorp Metro;Buslijn 33 Zone 5300 ;51,92977123;4,458799214
Blijdorp Metro;Buslijn 33 Zone 5300 ;51,93009489;4,458807065
Blijdorpplein;Buslijn 33, Buslijn 40 Zone 5300 ;51,93011922;4,442681535
Blijdorpplein;Buslijn 33, Buslijn 40 Zone 5300 ;51,92961173;4,442168766
Bloemkwekersstraat;Tramlijn 4 Zone 5300 ;51,91621697;4,469196049
Bloemkwekersstraat;Tramlijn 4 Zone 5300 ;51,9161345;4,468994235
Blois van Treslongstraat;Buslijn 56 Zone 5329 ;51,91318002;4,325305729
Blois van Treslongstraat;Buslijn 56, BOB-buslijn 2 Zone 5300 ;51,91336696;4,324109444
Boeier;BOB-buslijn 3, Buslijn 121 Zone 5300 ;51,9422446;4,368353085
Boeier;Buslijn 121 Zone 5327 ;51,94230494;4,369093472
Boeier;Tramlijn 21 Zone 5327 Halte is rolstoeltoegankelijk.;51,94230117;4,368657231
Boeier;Tramlijn 21 Zone 5327 Halte is rolstoeltoegankelijk.;51,94238978;4,368509778
Boele;Buslijn 140 Zone 5324 ;51,89945687;4,578601258
Boele;Buslijn 140 Zone 5324 ;51,89940453;4,577526979
Boerhaavelaan;Buslijn 126, Buslijn 51, Buslijn 54 Zone 5319 ;51,91649349;4,412021258
Boerhaavelaan;Buslijn 184 Zone 5328 ;51,86178216;4,531238451
Boerhaavelaan;Buslijn 184 Zone 5328 ;51,86162989;4,530079917
Boerhaavelaan;Buslijn 51, Buslijn 126, Buslijn 54 Zone 5319 ;51,91642974;4,411920891
Boezemsingel;Tramlijn 7 Zone 5300 ;51,92995961;4,497093816
Boezemsingel;Tramlijn 7 Zone 5300 ;51,92978654;4,496791906
Boezemstraat;Tramlijn 7 Zone 5300 ;51,93221074;4,497616296
Boezemstraat;Tramlijn 7 Zone 5300 ;51,93249493;4,497159902
Boezemweg;Deze halte is tijdelijk komen te vervallen Zone 5300 ;51,92831885;4,49645751
Boezemweg;Deze halte is tijdelijk komen te vervallen Zone 5300 ;51,92803037;4,496346914
Bongweg;BOB-buslijn 7 Zone 5300 ;51,85460446;4,374764515
Bongweg;Buslijn 80 Zone 5326 ;51,85430338;4,374248717
Bongweg;Buslijn 80 Zone 5326 ;51,85420402;4,37419289
Boonstraat;Buslijn 69 Zone 5316 ;51,88759889;4,383740104
Boonstraat;Buslijn 69, BOB-buslijn 7 Zone 5300 ;51,88760298;4,384219388
Bordeauxstraat;Buslijn 173 Zone 5441 ;52,05989434;4,49764569
Bordeauxstraat;Buslijn 173 Zone 5441 ;52,06010094;4,497627001
Bornissestraat;Buslijn 42 Zone 5315 ;51,92613096;4,423094266
Bornissestraat;Buslijn 42 Zone 5315 ;51,92659496;4,422677215
Bospolderstraat;BOB-buslijn 1 Zone 5300 ;51,96479027;4,61259444
Bosweg;Buslijn 174 Zone 5310 ;51,97079341;4,495672603
Bosweg;Buslijn 174 Zone 5310 ;51,97095695;4,495902207
Boterdorpseweg;Buslijn 170, Buslijn 173 Zone 5320 ;51,98825366;4,480941278
Boterdorpseweg;Buslijn 170, Buslijn 173 Zone 5320 ;51,9882249;4,480708916
Boterdorpseweg;Buslijn 174, Buslijn 172 Zone 5320 ;51,98107985;4,4961232
Boterdorpseweg;Buslijn 174, Buslijn 172, BOB-buslijn 10, BOB-buslijn 17 Zone 5300 ;51,98053999;4,497240212
Botreep;Buslijn 80 Zone 5326 ;51,8520377;4,373153004
Botreep;Buslijn 80 Zone 5326 ;51,85251602;4,373374474
Bouman;Buslijn 95, Buslijn 34 Zone 5311 ;51,91572831;4,553162439
Bovensim;Buslijn 80 Zone 5326 ;51,8528624;4,368736281
Bramanteplein;Buslijn 37 Zone 5321 ;51,93707117;4,552431651
Bramanteplein;Buslijn 37 Zone 5321 ;51,93672108;4,552496327
Brandingdijk;BOB-buslijn 1 Zone 5300 ;51,98764348;4,597029737
Brantingweg;Buslijn 35 Zone 5321 ;51,96478546;4,541439288
Brantingweg;Buslijn 35, BOB-buslijn 1 Zone 5300 ;51,96488851;4,543270805
Brasem;Buslijn 143, Buslijn 146, Buslijn 245 Zone 5334 ;51,86259249;4,623993806
Brasem;Buslijn 145, Buslijn 146, Buslijn 245 Zone 5334 ;51,86370118;4,624468632
Bredenoord;Tramlijn 2 Zone 5324 ;51,8835259;4,552466867
Bredenoord;Tramlijn 2 Zone 5324 ;51,88344222;4,552076248
Breeplein;Buslijn 77 Zone 5314 ;51,89127956;4,513650887
Breeplein;Buslijn 77, Buslijn 66 Zone 5314 ;51,89044904;4,513173094
Breeplein;Tramlijn 2, Tramlijn 20 Zone 5314 Halte is rolstoeltoegankelijk.;51,890228;4,514877065
Breeplein;Tramlijn 2, Tramlijn 20, Tramlijn 25 Zone 5314 Halte is rolstoeltoegankelijk.;51,8908212;4,51365979
Breitnerstraat;Buslijn 32 Zone 5300 ;51,91454156;4,469898886
Breitnerstraat;Buslijn 32, Buslijn 44 Zone 5300 ;51,91434045;4,468318675
Brielselaan;Deze halte is tijdelijk komen te vervallen Zone 5314 ;51,89527657;4,484719049
Brielselaan;Deze halte is tijdelijk komen te vervallen Zone 5314 ;51,89499796;4,484724641
Brielselaan;Tramlijn 2 Zone 5314 ;51,89447223;4,48415405
Brielselaan;Tramlijn 2 Zone 5314 ;51,89432676;4,483939044
Broersvest;Deze halte is tijdelijk komen te vervallen Zone 5319 ;51,91817548;4,4024489
Broersvest;Deze halte is tijdelijk komen te vervallen Zone 5319 ;51,91832655;4,40224208
Broersvest;Tramlijn 24, Tramlijn 21 Zone 5319 Halte is rolstoeltoegankelijk.;51,91806678;4,402349528
Broersvest;Tramlijn 24, Tramlijn 21 Zone 5319 Halte is rolstoeltoegankelijk.;51,91842639;4,402356183
Brouwerstraat;Buslijn 290 Zone 5334 ;51,87662054;4,613880505
Brouwerstraat;Buslijn 290 Zone 5334 ;51,87672543;4,613428501
Buitenzorg;Buslijn 35, Buslijn 174 Zone 5310 ;51,94991942;4,475445668
Buitenzorg;Buslijn 35, Buslijn 174 Zone 5310 ;51,94927963;4,475240467
Burg. Meineszplein;Buslijn 38 Zone 5300 ;51,91988589;4,448900371
Burg. van de Brandelerstraat;BOB-buslijn 9 Zone 5300 ;51,93478609;4,228832237
Burg. Van Haarenlaan;Buslijn 126 Zone 5319 ;51,91112499;4,379799359
Burg. van Kempensingel;Buslijn 35 Zone 5310 ;51,95983053;4,503252522
